group_id,user_id
1,802fc30c-105d-452c-a1c7-ef2f7c4a9287
1,3b84efdf-6b2a-42aa-816b-36a81b82c6cb
1,0f542076-d538-4ab2-bbea-a33c01c4f66b
1,28c9431a-e2e7-4751-b44c-e6ce66d665cd
1,29eb5b22-2caa-4046-a79f-ae8edf44128c
1,f972d0e8-300d-4050-97a4-6ccabe7195ff
2,dfdb7a89-26e1-4458-a2fb-4fce66ab89c8
2,12cb61cf-58f2-41a0-95d5-fac505dcec73
2,f1b79f7f-b94d-48bb-9a7e-04c024677b4d
2,581e4fbc-a88e-4da9-b851-2945b3a35207
2,8a1d2611-5735-42a9-83a9-4ff407add976
2,22fe2ae3-f48d-4d0c-aa8d-cded66fc4926
2,896f52d4-c18c-4640-9849-f1d4e223398f
2,e6826710-7735-4e6b-9ca7-f87d6ecfcddd
2,2c9ed78a-d98e-46f8-a563-be02fd8f3053
3,940da40b-461c-450c-9a3a-23cae52ddc1c
3,57addcff-2a2a-4a4e-b280-84f610d3c27b
3,b7cceec7-3bfa-40f2-9b53-1264866e7bdd
4,c8304ec6-6aeb-4ab2-a742-2216f2890883
4,cfbc2f77-029b-4c57-9944-1380184450f2
4,10678aaa-4198-4c26-9a85-b56b76f2fd57
4,d5cced1d-a278-49cd-b387-82ccb7fe2f5b
4,a86fedba-8f74-45e4-9a01-49c8833062ba
4,baba6b65-f20b-44e6-8020-4a527e526d33
4,c78c3d0d-6b77-4687-ab14-eb221b51e2a9
5,a441248e-2611-4840-a069-7329beed1da0
5,1fe6d41d-8adb-4679-9e57-9eb2346b05cf
5,cf6de933-06cf-4a87-9e8f-a2e3872394bd
5,83c951ce-ad6b-4055-bb28-20b34f92e979
5,aa29f0f3-ccea-4737-a7d3-a8502b765d33
5,c79b7217-21eb-47d0-ae24-027cdea1710c
5,c1487605-0e21-4715-85c5-1ff2f036e963
5,f27b99a5-c8da-479c-b7b4-bd599b53b2cc
5,82376a5f-4318-41b5-bddd-931faef4b5ae
6,7b80d7f2-1af3-47b4-8ddb-96f7c5ee1a1b
6,4d356411-f4f7-45d2-a146-7c143d1e7a14
6,e4ea609f-6438-480a-8467-d31d7d461e30
6,c23f920f-b56b-425d-aa7f-193d952cb435
6,7a7c77d4-aa14-4cb3-8663-87353b3529d7
6,0d630708-ff57-452f-8f06-1c66fb4cf874
6,e700c436-804e-429d-b14f-27fbd7fd1f1b
6,d809d135-bcc3-4df6-a4f5-e002ba20f0ca
6,ddbe141b-3627-4e08-b93c-6a2982b1df88
7,6a233090-6262-4a22-8489-3e2c71c306e3
7,26ac407f-32cc-46a7-bf5d-6b03b0ee0fea
7,afec5d0e-739a-47de-8363-871cdf0e0ac7
